,n,L,time,rate,num_mutations,num_trees,num_edges
106,10,10000000.0,0.005252021504566074,1e-08,5406.9,4191,12917
107,10,10000000.0,0.0032021278981119393,1e-09,536.6,4191,12917
108,1000,79157894.0,1.3378650447004474,1e-07,1178004.2,107416,397988
109,1000,79157894.0,0.14775700381724163,1e-08,117612.9,107416,397988
110,1000,79157894.0,0.051749054621905086,1e-09,11758.7,107416,397988
111,1000,94789473.0,1.6242968381964602,1e-07,1417489.0,128564,476101
112,1000,94789473.0,0.1792134923278354,1e-08,142018.5,128564,476101
113,1000,94789473.0,0.06363032250665128,1e-09,14155.8,128564,476101
114,100000,10000000.0,0.26765850248048084,1e-07,242247.5,22590,286163
115,100000,10000000.0,0.050316453038249165,1e-08,24260.0,22590,286163
116,100000,10000000.0,0.0328048757975921,1e-09,2394.4,22590,286163
117,94737,10000000.0,0.2613610395928845,1e-07,240501.8,22516,275279
118,94737,10000000.0,0.04702167760115117,1e-08,23995.4,22516,275279
119,94737,10000000.0,0.0316200063098222,1e-09,2401.0,22516,275279
