N,L,num_samples,height,num_trees,time
100000,1000000.0,100000,2563553.533367705,47563,9.636790639999987
10000,10000000.0,1000,236439.33387174585,29762,0.6696778349999875
10000,10000000.0,1000,185068.59771901974,29873,0.6486025519999998
10000,10000000.0,1000,185999.37775641933,29808,0.6723280120000084
10000,10000000.0,100000,221542.36002432148,48250,8.346584258999997
10000,10000000.0,100000,260289.25007068005,48268,8.366621479000003
10000,10000000.0,100000,219854.30879343083,48812,10.590977683000006
1000,100000000.0,1000,24352.570843024525,29859,0.6732657800000084
1000,100000000.0,1000,23892.285860260763,30586,0.6678982470000108
1000,100000000.0,1000,23790.034200451042,29886,0.679012269000026
1000,100000000.0,100000,21673.76444924553,48152,8.179639944000002
1000,100000000.0,100000,22616.14525819745,49249,9.162863742999974
1000,100000000.0,100000,19158.1943762872,48438,8.648769184000002
200000,1000000.0,1000,5984156.664939619,58925,2.1830855519999943
200000,1000000.0,1000,4203060.486003963,57925,2.083289146999988
200000,1000000.0,1000,4190096.4378312635,58357,2.2159567060000143
200000,1000000.0,100000,5604385.13243765,92923,14.499919806999998
200000,1000000.0,100000,5270145.287185368,91793,14.580162913999999
200000,1000000.0,100000,5572653.526620393,92788,15.145082057999986
50000,5000000.0,1000,1137890.428843019,76032,3.215201362000016
50000,5000000.0,1000,1222623.8060601735,73907,3.044417081000006
50000,5000000.0,1000,1185380.4247247085,73978,3.075754876000019
50000,5000000.0,100000,1178385.6358668134,118723,17.859821660000023
50000,5000000.0,100000,1305931.3675033085,119397,19.534891506000008
50000,5000000.0,100000,1354806.534643891,120118,23.974714548999998
5000,50000000.0,1000,110430.13695463848,75321,3.507264740000039
5000,50000000.0,1000,109725.24938081822,74486,3.2776499450000074
5000,50000000.0,1000,113386.39939120822,74691,2.9976130210000065
5000,50000000.0,100000,123755.12299011655,120320,19.917651895999995
5000,50000000.0,100000,153123.3003163807,120140,19.264956154999993
5000,50000000.0,100000,122988.15024295227,121612,25.327034757000035
300000,1000000.0,1000,7200210.392586746,85269,4.530286214
300000,1000000.0,1000,6723627.462116433,85432,4.384684854
300000,1000000.0,1000,8973455.713464651,87140,4.466985145000024
300000,1000000.0,100000,6968495.858978562,135614,22.975834222000003
300000,1000000.0,100000,8371992.392733052,134948,25.942894901999978
300000,1000000.0,100000,7847916.302723843,134762,24.47851474099997
100000,5000000.0,1000,2472326.6750475834,148523,11.056968794
100000,5000000.0,1000,2838869.516193567,148077,10.772656218999998
100000,5000000.0,1000,2485856.5247618165,147871,11.12715211599999
100000,5000000.0,100000,2462571.5832229936,236145,47.473333648999926
100000,5000000.0,100000,2635138.9868513606,238365,53.49616177600001
100000,5000000.0,100000,2432603.214652661,237005,41.37723067100001
50000,10000000.0,1000,1963138.7324454943,149340,11.737719126999991
50000,10000000.0,1000,1327271.0496385044,149818,11.636437160000014
